START_DATE*,END_DATE*,CATEGORY*,MILES*,PURPOSE*
5/17/2020 13:15,5/17/2020 13:23,Business,2.8,Errand/Supplies
5/17/2020 13:56,5/17/2020 14:08,Business,2.7,Errand/Supplies
5/17/2020 14:34,5/17/2020 14:40,Business,1.9,Errand/Supplies
5/18/2020 9:11,5/18/2020 9:41,Business,8.4,Customer Visit
5/18/2020 13:00,5/18/2020 13:02,Business,7.6,Customer Visit
5/19/2020 14:37,5/19/2020 15:01,Business,2.9,Meal/Entertain
5/20/2020 10:56,5/20/2020 11:07,Business,11.2,Meeting
5/20/2020 15:43,5/20/2020 16:12,Business,8.2,Meal/Entertain
5/22/2020 15:39,5/22/2020 15:46,Business,3,Meal/Entertain
5/22/2020 18:46,5/22/2020 18:53,Business,2.5,Meal/Entertain
5/23/2020 20:19,5/23/2020 20:27,Business,3.6,Meal/Entertain
5/23/2020 21:09,5/23/2020 21:21,Business,3.6,Errand/Supplies
5/27/2020 20:26,5/27/2020 20:30,Business,4.5,Errand/Supplies
5/27/2020 20:47,5/27/2020 20:53,Business,1.2,
5/27/2020 22:11,5/27/2020 22:14,Business,1.7,Errand/Supplies
5/28/2020 0:15,5/28/2020 0:21,Business,4.7,Errand/Supplies
5/28/2020 12:52,5/28/2020 13:06,Business,6.1,Meal/Entertain
5/28/2020 14:35,5/28/2020 15:04,Business,11.3,Customer Visit
5/31/2020 13:54,5/31/2020 14:41,Business,14.9,Meeting
5/31/2020 16:02,5/31/2020 16:39,Business,14,Meeting
5/31/2020 17:50,5/31/2020 17:59,Business,1.8,
6/1/2020 10:19,6/1/2020 10:47,Business,6.7,Customer Visit
6/1/2020 13:10,6/1/2020 13:39,Business,9.6,Meeting
6/3/2020 11:29,6/3/2020 11:49,Business,10.4,Meeting
6/3/2020 13:08,6/3/2020 13:38,Business,9.9,Meeting
6/3/2020 15:31,6/3/2020 15:54,Business,6,Meal/Entertain
6/3/2020 18:14,6/3/2020 18:29,Business,3.3,Errand/Supplies
6/3/2020 18:41,6/3/2020 18:53,Business,3.1,Errand/Supplies
6/3/2020 19:36,6/3/2020 19:42,Business,1.7,Errand/Supplies
6/3/2020 22:47,6/3/2020 23:06,Business,4,Between Offices
6/5/2020 14:03,6/5/2020 14:33,Business,7.8,Customer Visit
6/5/2020 15:06,6/5/2020 15:22,Business,7.8,Customer Visit
6/5/2020 15:57,6/5/2020 16:08,Business,3.8,Meal/Entertain
6/5/2020 18:05,6/5/2020 18:14,Business,2.5,Meal/Entertain
6/5/2020 21:53,6/5/2020 22:05,Business,9.9,Meeting
6/5/2020 23:52,6/6/2020 0:08,Business,9.9,Meeting
6/6/2020 15:36,6/6/2020 15:45,Business,3,Errand/Supplies
6/6/2020 16:16,6/6/2020 16:24,Business,2.4,Errand/Supplies
6/6/2020 20:06,6/6/2020 20:20,Business,5.7,Meal/Entertain
6/6/2020 21:08,6/6/2020 21:37,Business,7.2,Meal/Entertain
6/6/2020 21:41,6/6/2020 22:00,Business,10.4,Meeting
6/6/2020 23:34,6/6/2020 23:48,Business,9.9,Meeting
6/7/2020 21:42,6/7/2020 22:00,Business,10.4,Meeting
6/7/2020 23:41,6/8/2020 0:04,Business,9.9,Meeting
6/8/2020 8:23,6/8/2020 8:53,Business,8.7,Meal/Entertain
6/8/2020 12:04,6/8/2020 13:01,Business,22.3,Errand/Supplies
6/8/2020 13:12,6/8/2020 13:29,Business,3.3,Meal/Entertain
6/8/2020 14:31,6/8/2020 14:37,Business,0.7,Errand/Supplies
6/8/2020 16:55,6/8/2020 17:11,Business,2.5,Meal/Entertain
6/8/2020 17:16,6/8/2020 17:18,Business,0.5,Errand/Supplies
6/8/2020 17:59,6/8/2020 18:05,Business,0.9,Errand/Supplies
6/8/2020 20:11,6/8/2020 20:25,Business,4.8,Errand/Supplies
6/10/2020 15:19,6/10/2020 16:28,Business,16.3,Meeting
6/10/2020 21:47,6/10/2020 22:04,Business,10.4,Meeting
6/10/2020 23:53,6/11/2020 0:01,Business,9.9,Meeting
6/11/2020 17:08,6/11/2020 17:16,Business,3.7,Errand/Supplies
6/11/2020 17:34,6/11/2020 17:39,Business,4.6,Meal/Entertain
6/11/2020 17:50,6/11/2020 17:56,Business,1.7,
6/11/2020 21:45,6/11/2020 22:04,Business,10.4,Meeting
6/11/2020 23:39,6/12/2020 0:05,Business,9.9,Meeting
6/12/2020 19:53,6/12/2020 19:56,Business,2.5,Meal/Entertain
6/12/2020 20:05,6/12/2020 20:16,Business,4.3,Errand/Supplies
6/12/2020 21:58,6/12/2020 22:19,Business,2.8,Errand/Supplies
6/13/2020 5:23,6/13/2020 5:42,Business,8.4,Meal/Entertain
6/13/2020 14:17,6/13/2020 14:46,Business,13.2,Meeting
6/13/2020 18:08,6/13/2020 18:47,Business,3.9,Meal/Entertain
6/13/2020 18:54,6/13/2020 19:23,Business,5.1,Meal/Entertain
6/13/2020 20:00,6/13/2020 20:05,Business,5.2,Customer Visit
6/14/2020 12:03,6/14/2020 12:21,Business,9.8,
6/14/2020 16:09,6/14/2020 16:39,Business,11.6,Meeting
6/14/2020 17:15,6/14/2020 17:24,Business,5.1,Meeting
6/14/2020 17:27,6/14/2020 17:57,Business,9.3,Errand/Supplies
6/15/2020 1:46,6/15/2020 2:06,Business,12.4,Between Offices
6/15/2020 15:26,6/15/2020 15:34,Business,1.9,Between Offices
6/15/2020 16:37,6/15/2020 17:02,Business,6.4,Customer Visit
6/15/2020 17:29,6/15/2020 17:49,Personal,5.5,
6/15/2020 19:52,6/15/2020 19:58,Business,1.5,Meal/Entertain
6/16/2020 13:36,6/16/2020 14:30,Business,14.5,
6/16/2020 14:42,6/16/2020 14:46,Business,2.7,
6/16/2020 15:17,6/16/2020 15:41,Business,15,
6/16/2020 19:39,6/16/2020 19:56,Business,12.9,
6/16/2020 21:43,6/16/2020 21:56,Business,13.6,
6/17/2020 16:11,6/17/2020 16:44,Business,12.2,
6/18/2020 0:29,6/18/2020 0:51,Business,8.7,
6/19/2020 2:39,6/19/2020 2:50,Business,6,
6/19/2020 5:51,6/19/2020 6:00,Business,5.9,
6/21/2020 15:39,6/21/2020 16:08,Business,19.3,
6/21/2020 17:11,6/21/2020 18:02,Business,16.6,Meal/Entertain
6/24/2020 10:41,6/24/2020 10:57,Business,7.1,Meal/Entertain
6/24/2020 11:54,6/24/2020 12:01,Business,2.1,Meal/Entertain
6/24/2020 12:19,6/24/2020 12:37,Business,8.6,Errand/Supplies
6/24/2020 12:50,6/24/2020 13:12,Business,9,Errand/Supplies
6/24/2020 13:18,6/24/2020 13:27,Business,3.1,Errand/Supplies
6/24/2020 14:01,6/24/2020 14:20,Business,8.4,Temporary Site
6/24/2020 20:44,6/24/2020 21:02,Business,12.8,
6/25/2020 9:03,6/25/2020 9:12,Business,4.5,
6/25/2020 9:15,6/25/2020 10:08,Business,11.8,Between Offices
6/25/2020 10:18,6/25/2020 10:25,Business,1.1,Errand/Supplies
6/25/2020 10:50,6/25/2020 11:18,Business,17,Meal/Entertain
6/25/2020 11:25,6/25/2020 11:34,Business,1.7,Meeting
6/25/2020 11:53,6/25/2020 13:21,Business,15.5,Meeting
6/25/2020 19:47,6/25/2020 19:58,Business,1.6,
6/25/2020 23:19,6/25/2020 23:26,Business,1.5,
6/26/2020 17:43,6/26/2020 18:18,Business,12.6,Meeting
6/26/2020 18:45,6/26/2020 19:12,Business,4.8,
6/26/2020 19:41,6/26/2020 19:50,Business,2.2,
6/26/2020 21:14,6/26/2020 21:42,Business,13,
6/27/2020 7:37,6/27/2020 8:48,Business,46.9,
6/27/2020 8:51,6/27/2020 9:00,Business,2.5,
6/27/2020 9:05,6/27/2020 9:33,Business,8.6,
6/27/2020 9:43,6/27/2020 10:08,Business,5.2,
6/27/2020 10:22,6/27/2020 10:39,Business,7.6,
6/27/2020 10:51,6/27/2020 10:58,Business,1.8,
6/27/2020 11:06,6/27/2020 11:24,Business,4.7,
6/27/2020 11:30,6/27/2020 11:42,Business,2.8,
6/27/2020 12:22,6/27/2020 13:02,Business,30,
6/27/2020 13:56,6/27/2020 14:05,Business,4.4,
6/27/2020 21:09,6/27/2020 21:19,Business,1,
6/28/2020 0:48,6/28/2020 1:05,Business,8.2,Customer Visit
6/28/2020 20:13,6/28/2020 20:33,Business,10.4,Meeting
6/28/2020 23:34,6/28/2020 23:59,Business,9.9,Meeting
6/28/2020 23:34,6/28/2020 23:59,Business,9.9,Meeting
6/29/2020 8:56,6/29/2020 9:24,Business,7.3,
6/29/2020 10:22,6/29/2020 10:38,Business,7.4,
6/29/2020 11:49,6/29/2020 11:51,Business,1.6,
6/29/2020 12:11,6/29/2020 12:16,Business,1.8,
6/29/2020 20:11,6/29/2020 20:29,Business,10.4,Meeting
6/29/2020 23:38,6/30/2020 0:00,Business,9.9,Meeting
6/30/2020 20:09,6/30/2020 20:26,Business,9.9,Meeting
7/1/2020 0:00,7/1/2020 0:25,Business,9.9,Meeting
7/1/2020 9:34,7/1/2020 9:57,Business,13.3,Meeting
7/1/2020 12:36,7/1/2020 13:00,Business,11.3,Meeting
7/1/2020 20:06,7/1/2020 20:24,Business,10.5,Meeting
7/1/2020 23:48,7/2/2020 0:09,Business,9.9,Meeting
7/2/2020 20:18,7/2/2020 20:36,Business,10.1,Meeting
7/2/2020 23:48,7/3/2020 0:12,Business,9.9,Meeting
7/3/2020 0:28,7/3/2020 0:38,Business,3.1,Errand/Supplies
7/3/2020 3:02,7/3/2020 3:08,Business,3.1,Errand/Supplies
7/3/2020 20:00,7/3/2020 20:18,Business,9.9,Meeting
7/4/2020 0:32,7/4/2020 0:47,Business,9.9,Meeting
7/4/2020 17:31,7/4/2020 17:49,Business,8.8,Meeting
7/4/2020 18:23,7/4/2020 18:49,Business,8.7,Temporary Site
7/4/2020 20:00,7/4/2020 20:17,Business,11.8,Meeting
7/5/2020 0:00,7/5/2020 0:05,Business,1.2,Errand/Supplies
7/5/2020 0:08,7/5/2020 0:28,Business,9.9,Meeting
7/5/2020 16:48,7/5/2020 16:52,Business,0.6,Errand/Supplies
7/5/2020 20:06,7/5/2020 20:26,Business,9.9,
7/5/2020 22:41,7/5/2020 23:02,Business,8.6,
7/6/2020 0:33,7/6/2020 0:53,Business,6.3,Meal/Entertain
7/6/2020 9:06,7/6/2020 9:25,Business,9.9,Meeting
7/6/2020 12:48,7/6/2020 13:08,Business,9.9,
7/6/2020 20:04,7/6/2020 20:14,Business,3.3,Meal/Entertain
7/6/2020 23:46,7/6/2020 23:59,Business,3.1,Customer Visit
7/7/2020 8:22,7/7/2020 8:50,Business,7.9,Temporary Site
7/7/2020 10:27,7/7/2020 10:33,Business,8.9,
7/7/2020 12:59,7/7/2020 13:35,Business,12.8,
7/8/2020 9:50,7/8/2020 10:13,Business,7.7,
7/8/2020 10:51,7/8/2020 11:12,Business,7,
7/8/2020 13:48,7/8/2020 14:11,Business,12.5,
7/8/2020 17:11,7/8/2020 17:30,Business,13.2,
7/9/2020 9:03,7/9/2020 9:46,Business,13,
7/9/2020 9:52,7/9/2020 10:06,Business,4.9,
7/9/2020 10:15,7/9/2020 10:33,Business,8.5,
7/10/2020 14:10,7/10/2020 14:17,Business,1.3,
7/10/2020 16:04,7/10/2020 16:15,Business,1.8,
7/10/2020 18:05,7/10/2020 18:21,Business,13.6,
7/10/2020 19:51,7/10/2020 20:08,Business,13.4,
7/12/2020 16:10,7/12/2020 16:45,Business,12.3,
7/12/2020 19:21,7/12/2020 19:26,Personal,1.4,
7/12/2020 23:47,7/13/2020 0:11,Personal,8.7,
7/13/2020 12:39,7/13/2020 13:20,Personal,23.5,
7/13/2020 13:25,7/13/2020 13:39,Personal,2.2,
7/13/2020 13:42,7/13/2020 13:54,Personal,4.4,
7/14/2020 15:51,7/14/2020 15:59,Personal,3.3,
7/14/2020 16:03,7/14/2020 16:34,Business,11.8,Errand/Supplies
7/14/2020 16:39,7/14/2020 20:05,Business,195.3,
7/15/2020 11:32,7/15/2020 11:53,Personal,8.3,
7/15/2020 12:09,7/15/2020 12:19,Personal,3.2,
7/15/2020 12:35,7/15/2020 13:15,Personal,22.4,
7/15/2020 15:03,7/15/2020 15:33,Personal,12.2,
7/15/2020 15:40,7/15/2020 15:52,Personal,4.5,
7/16/2020 13:14,7/16/2020 14:10,Personal,28.1,
7/16/2020 14:14,7/16/2020 14:30,Personal,3.8,
7/16/2020 15:29,7/16/2020 16:57,Personal,41.9,
7/16/2020 19:42,7/16/2020 20:35,Personal,23.8,
7/16/2020 21:45,7/16/2020 22:18,Personal,13,
7/16/2020 22:50,7/16/2020 23:03,Business,4.4,Errand/Supplies
7/17/2020 11:23,7/17/2020 11:50,Personal,15.1,Charity ($)
7/17/2020 12:20,7/17/2020 15:25,Personal,180.2,Commute
7/18/2020 10:37,7/18/2020 10:49,Personal,4.1,Moving
7/18/2020 10:54,7/18/2020 11:15,Personal,6.1,Moving
7/18/2020 11:25,7/18/2020 11:36,Personal,3.3,Moving
7/18/2020 11:40,7/18/2020 11:56,Personal,4.7,Moving
7/18/2020 17:12,7/18/2020 17:33,Business,7.2,Meeting
7/18/2020 18:32,7/18/2020 18:47,Business,5.5,Meal/Entertain
7/18/2020 19:07,7/18/2020 19:14,Business,3.3,Meal/Entertain
7/18/2020 20:28,7/18/2020 20:32,Business,0.9,Errand/Supplies
7/18/2020 21:11,7/18/2020 21:19,Business,3.8,Meal/Entertain
7/19/2020 10:35,7/19/2020 10:51,Business,6.4,Customer Visit
7/19/2020 10:56,7/19/2020 11:11,Business,3,Meeting
7/19/2020 11:30,7/19/2020 12:00,Business,8.7,Meal/Entertain
7/19/2020 17:14,7/19/2020 17:24,Business,3.9,Errand/Supplies
7/19/2020 17:50,7/19/2020 18:08,Personal,4.8,
7/20/2020 17:12,7/20/2020 17:24,Personal,2.8,
7/20/2020 17:50,7/20/2020 17:57,Personal,1.4,
7/20/2020 18:16,7/20/2020 18:20,Personal,1.4,
7/21/2020 17:17,7/21/2020 17:23,Business,2.7,
7/21/2020 17:42,7/21/2020 17:51,Business,2.3,
7/21/2020 18:27,7/21/2020 18:42,Business,3.7,
7/21/2020 19:30,7/21/2020 19:39,Business,2.9,
7/22/2020 10:42,7/22/2020 10:53,Business,3.8,
7/22/2020 11:11,7/22/2020 11:25,Business,5.1,
7/22/2020 11:37,7/22/2020 12:00,Business,9.1,
7/22/2020 12:14,7/22/2020 12:31,Business,8,
7/22/2020 13:21,7/22/2020 13:42,Business,9.9,Meeting
7/22/2020 14:27,7/22/2020 14:43,Business,6.1,Meal/Entertain
7/22/2020 15:49,7/22/2020 16:22,Business,12.2,
7/22/2020 18:33,7/22/2020 18:51,Business,8,
7/23/2020 14:27,7/23/2020 14:44,Business,4,
7/23/2020 14:48,7/23/2020 15:12,Business,9.5,
7/23/2020 15:15,7/23/2020 15:27,Business,3,
7/23/2020 15:50,7/23/2020 16:10,Business,6.3,
7/23/2020 20:17,7/23/2020 20:33,Business,10.4,Meeting
7/23/2020 23:18,7/23/2020 23:43,Business,9.9,Meeting
7/25/2020 10:35,7/25/2020 10:41,Business,1.5,
7/25/2020 10:47,7/25/2020 10:58,Business,4.9,
7/25/2020 11:04,7/25/2020 11:33,Business,7.9,
7/25/2020 11:37,7/25/2020 11:44,Business,1.7,
7/26/2020 15:43,7/26/2020 15:49,Business,2.2,
7/26/2020 17:14,7/26/2020 17:24,Business,2.1,
7/26/2020 20:52,7/26/2020 21:00,Business,2.5,Meal/Entertain
7/26/2020 22:31,7/26/2020 22:39,Business,2.5,Meal/Entertain
7/27/2020 19:08,7/27/2020 19:20,Business,2.8,
7/27/2020 21:34,7/27/2020 21:57,Business,14.7,
7/27/2020 22:00,7/27/2020 22:26,Business,14.6,
7/28/2020 0:04,7/28/2020 0:09,Business,2.3,
7/29/2020 15:45,7/29/2020 15:47,Business,2.2,
7/29/2020 17:27,7/29/2020 17:45,Business,2.2,Meal/Entertain
7/30/2020 17:02,7/30/2020 17:27,Business,14,
7/30/2020 21:16,7/30/2020 21:41,Business,13.3,
7/31/2020 17:30,7/31/2020 17:37,Business,1.8,
8/1/2020 12:47,8/1/2020 13:04,Business,6.2,
8/1/2020 13:08,8/1/2020 13:19,Business,1.3,
8/1/2020 13:28,8/1/2020 13:46,Business,1.9,
8/1/2020 13:52,8/1/2020 14:14,Business,6.9,
8/1/2020 15:40,8/1/2020 15:47,Business,4.6,
8/1/2020 16:18,8/1/2020 16:25,Business,2.8,
8/1/2020 16:29,8/1/2020 16:59,Business,9.1,
8/1/2020 17:23,8/1/2020 17:55,Business,8.1,
8/2/2020 8:11,8/2/2020 8:32,Business,8.4,Meeting
8/2/2020 11:51,8/2/2020 12:15,Business,4.9,
8/2/2020 19:15,8/2/2020 19:23,Business,1,
8/2/2020 21:23,8/2/2020 21:29,Business,1,
8/3/2020 12:46,8/3/2020 13:00,Business,2,
8/3/2020 14:59,8/3/2020 15:03,Business,1.1,
8/3/2020 16:00,8/3/2020 16:04,Business,1.5,
8/5/2020 17:23,8/5/2020 17:30,Business,1.3,
8/5/2020 18:17,8/5/2020 18:21,Business,1.8,
8/5/2020 19:17,8/5/2020 19:27,Business,1.5,
8/6/2020 6:40,8/6/2020 6:58,Business,6.6,
8/6/2020 9:31,8/6/2020 9:53,Business,8,
8/7/2020 17:14,8/7/2020 17:23,Business,2.7,
8/7/2020 17:28,8/7/2020 17:43,Business,2.7,Customer Visit
8/7/2020 18:17,8/7/2020 18:23,Business,2.5,
8/7/2020 20:15,8/7/2020 20:23,Business,2.5,Meal/Entertain
8/8/2020 16:17,8/8/2020 16:31,Business,5.2,
8/8/2020 16:37,8/8/2020 16:50,Business,4,
8/8/2020 17:02,8/8/2020 17:13,Business,2.7,Customer Visit
8/8/2020 21:50,8/8/2020 22:15,Business,4.8,
8/8/2020 23:28,8/8/2020 23:37,Business,3.2,Customer Visit
8/9/2020 14:20,8/9/2020 14:38,Business,6.9,
8/9/2020 15:15,8/9/2020 15:36,Business,14.9,
8/9/2020 16:04,8/9/2020 16:37,Business,17.4,
8/10/2020 16:56,8/10/2020 17:24,Business,12.9,
8/10/2020 17:53,8/10/2020 18:28,Business,15.3,
8/10/2020 18:49,8/10/2020 18:50,Business,1,
8/10/2020 19:47,8/10/2020 20:02,Business,6,
8/11/2020 12:53,8/11/2020 13:00,Business,2.2,
8/11/2020 13:14,8/11/2020 13:28,Business,4.4,
8/11/2020 13:32,8/11/2020 13:42,Business,2.8,
8/11/2020 18:37,8/11/2020 19:29,Business,31.7,
8/11/2020 20:59,8/11/2020 21:44,Business,31.9,
8/12/2020 18:49,8/12/2020 18:52,Business,1.9,
8/12/2020 18:56,8/12/2020 19:05,Business,1.8,
8/13/2020 15:35,8/13/2020 15:58,Business,8.4,Meeting
8/15/2020 9:05,8/15/2020 9:52,Business,15.6,
8/15/2020 15:20,8/15/2020 15:47,Business,14.1,
8/15/2020 16:52,8/15/2020 17:30,Business,15.7,
8/15/2020 19:08,8/15/2020 20:30,Business,25.9,Temporary Site
8/16/2020 7:58,8/16/2020 8:11,Business,7.9,
8/16/2020 8:16,8/16/2020 8:23,Business,2.7,
8/16/2020 8:46,8/16/2020 8:53,Business,5.5,
8/16/2020 10:06,8/16/2020 10:27,Business,5.7,
8/16/2020 10:31,8/16/2020 10:38,Business,1.2,
8/16/2020 11:47,8/16/2020 12:03,Business,5.7,Temporary Site
8/16/2020 15:13,8/16/2020 15:36,Business,16.2,
8/17/2020 10:17,8/17/2020 10:41,Business,2.6,
8/17/2020 10:57,8/17/2020 11:20,Business,12.1,
8/17/2020 14:45,8/17/2020 14:50,Business,1.4,
8/17/2020 15:32,8/17/2020 15:47,Business,6.4,
8/17/2020 16:29,8/17/2020 16:50,Business,7.3,
8/17/2020 16:54,8/17/2020 17:00,Business,5.3,
8/17/2020 17:05,8/17/2020 17:34,Business,5.5,
8/17/2020 18:38,8/17/2020 18:57,Business,7.7,Temporary Site
8/18/2020 18:40,8/18/2020 19:07,Business,7.6,Temporary Site
8/19/2020 8:24,8/19/2020 8:45,Business,7.6,
8/19/2020 8:54,8/19/2020 9:07,Business,3.3,
8/19/2020 9:27,8/19/2020 9:47,Business,6.5,
8/19/2020 10:57,8/19/2020 11:06,Business,2,
8/19/2020 12:07,8/19/2020 12:24,Business,5.7,
8/19/2020 15:51,8/19/2020 16:06,Business,3.2,
8/19/2020 17:12,8/19/2020 17:52,Business,12.5,
8/21/2020 10:00,8/21/2020 10:29,Business,7.6,Airport/Travel
8/21/2020 14:05,8/21/2020 14:34,Business,7.7,
8/21/2020 16:30,8/21/2020 17:02,Business,12.2,
8/21/2020 18:10,8/21/2020 18:17,Business,1.4,
8/21/2020 18:48,8/21/2020 19:24,Business,20.2,
8/22/2020 10:00,8/22/2020 10:44,Business,9.8,
8/22/2020 11:07,8/22/2020 11:23,Business,6.3,
8/22/2020 12:36,8/22/2020 12:49,Business,4.9,
8/22/2020 13:02,8/22/2020 13:11,Business,1.5,
8/22/2020 14:07,8/22/2020 14:31,Business,10.9,
8/22/2020 15:14,8/22/2020 15:49,Business,19,
8/22/2020 15:59,8/22/2020 17:16,Business,19,
8/22/2020 19:58,8/22/2020 20:50,Business,7.9,
8/22/2020 20:53,8/22/2020 21:31,Business,4.1,
8/22/2020 22:31,8/22/2020 23:00,Business,18.7,
8/23/2020 8:10,8/23/2020 8:25,Business,8.7,
8/23/2020 9:35,8/23/2020 10:09,Business,7.5,
8/23/2020 12:59,8/23/2020 13:15,Business,7.7,
8/23/2020 13:19,8/23/2020 13:30,Business,4.4,
8/23/2020 13:49,8/23/2020 14:04,Business,5,
8/23/2020 15:07,8/23/2020 15:12,Business,1.9,
8/23/2020 15:15,8/23/2020 17:16,Business,7.9,
8/23/2020 17:42,8/23/2020 18:31,Business,17.7,
8/24/2020 12:05,8/24/2020 12:56,Business,25.2,
8/24/2020 13:01,8/24/2020 15:25,Business,96.2,
8/25/2020 15:17,8/25/2020 16:22,Business,35,
8/25/2020 16:36,8/25/2020 16:56,Business,5.5,
8/25/2020 17:19,8/25/2020 19:20,Business,50.4,
8/25/2020 19:25,8/25/2020 19:57,Business,9.2,
8/25/2020 22:58,8/25/2020 23:16,Business,7.3,
8/26/2020 9:06,8/26/2020 9:20,Business,5,
8/26/2020 11:14,8/26/2020 11:26,Business,3.8,
8/26/2020 12:10,8/26/2020 12:20,Business,3.9,
8/26/2020 14:10,8/26/2020 14:33,Business,7.4,
8/26/2020 15:23,8/26/2020 15:35,Business,1.5,
8/26/2020 15:59,8/26/2020 16:24,Business,7.9,
8/26/2020 16:55,8/26/2020 17:12,Business,2.9,
8/26/2020 18:42,8/26/2020 18:56,Business,3.4,
8/26/2020 19:31,8/26/2020 19:54,Business,3.8,
8/26/2020 20:06,8/26/2020 20:16,Business,5.9,
8/27/2020 9:34,8/27/2020 10:11,Business,9.6,
8/27/2020 11:47,8/27/2020 12:06,Business,7,
8/27/2020 12:12,8/27/2020 12:17,Business,0.9,
8/27/2020 14:01,8/27/2020 15:44,Business,86.6,
8/27/2020 16:15,8/27/2020 19:13,Business,156.9,
8/28/2020 9:57,8/28/2020 10:18,Business,10.1,
8/28/2020 16:39,8/28/2020 16:55,Business,6.2,
8/28/2020 17:37,8/28/2020 17:55,Business,5.3,
8/28/2020 21:15,8/28/2020 21:59,Business,12.1,
8/29/2020 12:02,8/29/2020 12:31,Business,10.8,
8/29/2020 13:38,8/29/2020 13:48,Business,4.3,
8/29/2020 14:31,8/29/2020 14:41,Business,2.5,
8/29/2020 14:49,8/29/2020 15:04,Business,5.7,Temporary Site
8/29/2020 15:49,8/29/2020 15:59,Business,2.8,
8/29/2020 16:06,8/29/2020 16:21,Business,4,
8/29/2020 17:24,8/29/2020 17:41,Business,5.5,
8/29/2020 18:27,8/29/2020 18:36,Business,2.6,
8/30/2020 11:53,8/30/2020 12:05,Business,2.1,
8/30/2020 12:46,8/30/2020 13:09,Business,8.8,
8/30/2020 13:25,8/30/2020 13:46,Business,4.4,
8/30/2020 14:00,8/30/2020 14:20,Business,5.3,
8/30/2020 17:27,8/30/2020 18:09,Business,13,
9/1/2020 11:51,9/1/2020 12:24,Business,13,
9/1/2020 17:21,9/1/2020 17:36,Business,10.6,
9/1/2020 18:49,9/1/2020 19:08,Business,2.2,
9/2/2020 11:37,9/2/2020 12:24,Business,9.2,
9/2/2020 18:56,9/2/2020 19:37,Business,12.9,
9/5/2020 10:25,9/5/2020 10:44,Business,17.2,
9/6/2020 17:49,9/6/2020 17:49,Business,69.1,
9/10/2020 10:28,9/10/2020 10:45,Business,2.8,
9/11/2020 9:51,9/11/2020 9:55,Business,8.6,
9/11/2020 21:40,9/11/2020 21:42,Business,9.8,
9/12/2020 8:07,9/12/2020 8:12,Business,3.6,
9/12/2020 11:15,9/12/2020 11:24,Business,1.7,
9/12/2020 13:04,9/12/2020 13:44,Business,11.5,
9/13/2020 16:56,9/13/2020 17:02,Business,0.7,
9/14/2020 11:55,9/14/2020 11:59,Business,0.7,
9/15/2020 20:33,9/15/2020 20:38,Business,0.9,
9/16/2020 7:08,9/16/2020 7:08,Business,1.6,
9/18/2020 18:07,9/18/2020 18:11,Business,9.4,
9/19/2020 6:18,9/19/2020 6:49,Business,18.2,
9/19/2020 14:40,9/19/2020 14:56,Business,10.5,
9/19/2020 16:23,9/19/2020 16:31,Business,5.7,
9/19/2020 17:36,9/19/2020 18:20,Business,18,
9/19/2020 19:10,9/19/2020 19:49,Business,18.3,
9/20/2020 11:29,9/20/2020 11:48,Business,16.5,
9/20/2020 20:47,9/20/2020 22:47,Business,9.6,
9/23/2020 13:15,9/23/2020 13:40,Business,2.9,
9/24/2020 14:34,9/24/2020 15:15,Business,8.2,
9/24/2020 20:29,9/24/2020 20:33,Business,2.4,
9/27/2020 8:33,9/27/2020 8:35,Business,5.8,
9/27/2020 13:21,9/27/2020 14:43,Business,9.8,
9/27/2020 19:14,9/27/2020 20:34,Business,7.3,
9/27/2020 21:01,9/28/2020 2:37,Business,195.6,
9/28/2020 17:21,9/28/2020 19:36,Business,20.5,
9/29/2020 16:13,9/29/2020 18:47,Business,12.6,
9/30/2020 17:39,9/30/2020 20:20,Business,37.7,
9/30/2020 20:59,9/30/2020 22:34,Business,16.7,
